region,iso3,country,year,forest_area_kha,variable_type
Europe,SMR,San Marino,2000,1.0,forest_area
Africa,SOM,Somalia,2000,7516.0,forest_area
North and Central America,SPM,Saint Pierre and Miquelon,2000,1.67,forest_area
Europe,SRB,Serbia,2000,2483.2,forest_area
Africa,SSD,South Sudan,2000,7114.2,forest_area
Africa,STP,Sao Tome and Principe,2000,58.54,forest_area
South America,SUR,Suriname,2000,14901.98,forest_area
Europe,SVK,Slovakia,2000,1901.41,forest_area
Europe,SVN,Slovenia,2000,1233.0,forest_area
Europe,SWE,Sweden,2000,28163.0,forest_area
Africa,SWZ,Eswatini,2000,470.57,forest_area
North and Central America,SXM,Sint Maarten (Dutch part),2000,0.3,forest_area
Africa,SYC,Seychelles,2000,31.96,forest_area
Asia,SYR,Syrian Arab Republic,2000,460.77,forest_area
North and Central America,TCA,Turks and Caicos Islands,2000,10.52,forest_area
Africa,TCD,Chad,2000,6352.74,forest_area
Africa,TGO,Togo,2000,1268.46,forest_area
Asia,THA,Thailand,2000,20165.0,forest_area
Asia,TJK,Tajikistan,2000,410.0,forest_area
Oceania,TKL,Tokelau,2000,0.0,forest_area
Asia,TKM,Turkmenistan,2000,2330.0,forest_area
Asia,TLS,Timor-Leste,2000,1086.57,forest_area
Oceania,TON,Tonga,2000,8.73,forest_area
North and Central America,TTO,Trinidad and Tobago,2000,236.65,forest_area
Africa,TUN,Tunisia,2000,667.84,forest_area
Asia,TUR,Türkiye,2000,20148.35,forest_area
Oceania,TUV,Tuvalu,2000,1.03,forest_area
Africa,TZA,United Republic of Tanzania,2000,54135.0,forest_area
Africa,UGA,Uganda,2000,3400.84,forest_area
Europe,UKR,Ukraine,2000,9510.0,forest_area
South America,URY,Uruguay,2000,1336.29,forest_area
North and Central America,USA,United States of America,2000,303536.0,forest_area
Asia,UZB,Uzbekistan,2000,2961.46,forest_area
Europe,VAT,Holy See,2000,0.0,forest_area
North and Central America,VCT,Saint Vincent and the Grenadines,2000,28.54,forest_area
South America,VEN,Venezuela (Bolivarian Republic of),2000,49231.58,forest_area
North and Central America,VGB,British Virgin Islands,2000,9.99,forest_area
North and Central America,VIR,United States Virgin Islands,2000,19.29,forest_area
Asia,VNM,Viet Nam,2000,11784.1,forest_area
Oceania,VUT,Vanuatu,2000,967.05,forest_area
Oceania,WLF,Wallis and Futuna Islands,2000,9.14,forest_area
Oceania,WSM,Samoa,2000,171.77,forest_area
Asia,YEM,Yemen,2000,549.0,forest_area
Africa,ZAF,South Africa,2000,20692.24,forest_area
Africa,ZMB,Zambia,2000,47054.0,forest_area
Africa,ZWE,Zimbabwe,2000,15658.19,forest_area
North and Central America,ABW,Aruba,2010,0.49,forest_area
Asia,AFG,Afghanistan,2010,1209.44,forest_area
Africa,AGO,Angola,2010,70912.78,forest_area
North and Central America,AIA,Anguilla,2010,5.5,forest_area
Europe,ALB,Albania,2010,782.07,forest_area
Europe,AND,Andorra,2010,18.08,forest_area
Asia,ARE,United Arab Emirates,2010,319.55,forest_area
South America,ARG,Argentina,2010,49727.45,forest_area
Asia,ARM,Armenia,2010,332.29,forest_area
Oceania,ASM,American Samoa,2010,16.19,forest_area
North and Central America,ATG,Antigua and Barbuda,2010,8.78,forest_area
Oceania,AUS,Australia,2010,131171.14,forest_area
Europe,AUT,Austria,2010,3861.64,forest_area
Asia,AZE,Azerbaijan,2010,1032.49,forest_area
Africa,BDI,Burundi,2010,193.94,forest_area
Europe,BEL,Belgium,2010,689.87,forest_area
Africa,BEN,Benin,2010,4264.22,forest_area
North and Central America,BES,"Bonaire, Sint Eustatius and Saba",2010,4.21,forest_area
Africa,BFA,Burkina Faso,2010,5034.87,forest_area
Asia,BGD,Bangladesh,2010,1888.24,forest_area
Europe,BGR,Bulgaria,2010,3737.0,forest_area
Asia,BHR,Bahrain,2010,1.37,forest_area
North and Central America,BHS,Bahamas,2010,509.86,forest_area
Europe,BIH,Bosnia and Herzegovina,2010,2102.66,forest_area
North and Central America,BLM,Saint Barthélemy,2010,0.17,forest_area
Europe,BLR,Belarus,2010,8630.0,forest_area
North and Central America,BLZ,Belize,2010,1428.03,forest_area
North and Central America,BMU,Bermuda,2010,0.78,forest_area
South America,BOL,Bolivia (Plurinational State of),2010,57499.75,forest_area
South America,BRA,Brazil,2010,525087.44,forest_area
